hour_of_day,day_of_week,is_weekend,crime_count_normalized,police_coverage_score,street_light_score,metro_access_score,footfall_score,sentiment_score,safety_score
14,1,0,0.4459598235481317,0.5870904917447739,0.4722621119428779,0.34673574925707595,0.4606755356616198,0.751284523902899,53.15932508399163
17,0,1,0.33026694252812594,0.3945358693890377,0.4467661153964341,0.41106518859185376,0.6015459441398936,0.6169403669879412,54.449566323995654
8,5,1,0.27529922818736974,0.40265765908789725,0.6412424966636827,0.245627733856924,0.33707331045107064,0.7634155692179271,52.75595050309712
23,1,0,0.6458325256862301,0.48337966451727576,0.5565394319416412,0.35214832877587265,0.046823168841993806,0.1715172978635443,31.696981374677723
14,0,0,0.43214817180369,0.4550395565148656,0.6049509068324218,0.9866271638261886,0.4661222618390211,0.5387662796442918,50.88407733028215
15,4,0,0.455406221794043,0.5885468264179786,0.5666539553263519,0.10482255337408748,0.5163004508909665,0.656758324941403,50.93524728899923
0,1,0,0.8277161811620144,0.4430625995256259,0.4877610436614609,0.7892554349893798,0.10142538208347748,0.17362932303318795,48.24884529165614
1,4,0,0.6513904656425024,0.6238747183590821,0.2719445925491216,0.029793733469850148,0.12369499641461462,0.3999611118663724,33.854512537364876
13,2,0,0.43984653881004226,0.6404933014803411,0.5764746777812881,0.8157034433092315,0.5372012580709251,0.6044199603301565,55.20796087783381
5,2,0,0.45566371610785555,0.4956215498357712,0.4648624049605471,0.39135684335056725,0.341946565940922,0.550047578257366,52.109375894134104
18,1,0,0.5193834820653773,0.4732054342904929,0.5467851526255597,0.34951178461852905,0.4844917187851666,0.5308319953798164,39.66639458165072
19,6,1,0.45428103993835817,0.6487077370784319,0.3864260996796907,0.06359569507617852,0.6460344899135368,0.6383037918252696,65.3082298411043
10,3,0,0.5177283731524996,0.4713312999917286,0.5129234759253181,0.7970079924664923,0.9041013975407786,0.5551841905259235,62.15826009698791
8,1,0,0.6502599059028776,0.44822780335665985,0.2811819352634482,0.189037676394755,0.41595591468870435,0.26361239946704584,34.66950889544246
5,5,1,0.6325248094498049,0.6486394638164071,0.5304344564708772,0.34516916816847426,0.4391762935862362,0.4990913728951379,44.66497677858312
0,6,1,0.5731878197682073,0.4365289391209748,0.4084085925145532,0.9632047895694249,0.11985937195955566,0.1372656414206737,34.18563853217788
17,0,0,0.6355528200152367,0.4706755819358774,0.5803926035182786,0.14942002529963552,0.5471902174827126,0.3820891661703643,53.014623217972066
21,0,0,0.6382404070329574,0.4669034983070674,0.5081520858792156,0.9429008202313612,0.5112626283603369,0.39972451928343034,55.211881889198914
7,6,1,0.29570734223043166,0.7526926795278387,0.46285694520125037,0.25567809097350735,0.2975623782636883,0.5827094825814075,51.265588222110445
3,1,1,0.2924316072578981,0.7493886175936819,0.6378810645553971,0.2369731132918685,0.15259043791820065,0.5221431579638304,52.89528606127987
10,5,1,0.33674872207022444,0.837603067695626,0.25787157029507274,0.04810187837283016,0.5085971190831668,0.6513703217207539,78.53887859965914
16,1,1,0.27986842645636334,0.6247807934280396,0.63420791493555,0.2452867582169519,0.602857179022567,0.648384759316808,58.577403189542146
7,6,1,0.5710660184626204,0.454447054899487,0.7294931070954781,0.9659770464081338,0.2440961559461749,0.23309663541011733,44.29244449480973
11,1,0,0.34356721120437944,0.40248582450962883,0.5107253367690411,0.3055501493678936,0.4644905666106868,0.6301301148952207,61.446114900894024
11,1,0,0.6369758768468704,0.4627294320442952,0.5585636269612029,0.1790559506457445,0.15050864758980445,0.3198305010073407,37.9517914582676
